asset_class_path,asset_count,blueprint_count,generated_class_known,parent_class_known,native_parent_class_known,confirmed_identity_count,open_identity_count
/Game/PrimalEarth/CoreBlueprints/ExplorerChest/ExplorerChest_Leddica.ExplorerChest_Leddica_C,30,0,0,0,0,0,0
/Script/Engine.SkeletalMeshLODSettings,30,0,0,0,0,0,0
/Game/Genesis/Environment/Bog/TreeRocks/TreeTrunkLightEmbedded/BP_TreeTrunk_Large_A_low.BP_TreeTrunk_Large_A_low_C,29,0,0,0,0,0,0
/Game/PrimalEarth/CoreBlueprints/ExplorerChest/ExplorerChest_Rockwell.ExplorerChest_Rockwell_C,29,0,0,0,0,0,0
/Game/Genesis/CoreBlueprints/Buffs/Buff_CycloneBox.Buff_CycloneBox_C,28,0,0,0,0,0,0
/Game/Genesis/Missions/Retrieve/MissionServerSidePoint_RetrieveItem.MissionServerSidePoint_RetrieveItem_C,28,0,0,0,0,0,0
/Script/ApexDestruction.DestructibleMesh,28,0,0,0,0,0,0
/Game/PrimalEarth/Sound/AmbientSoundActors/MountainAmbientSound_Blueprint_Medium.MountainAmbientSound_Blueprint_Medium_C,27,0,0,0,0,0,0
/Game/ASA/Environment/TheIsland/MergedMeshes/UnderWater/BPP_Rock_Formation_01.BPP_Rock_Formation_01_C,26,0,0,0,0,0,0
/DinoDefense/2DPlatformer/Environment/Fracture_Meshes/DestructibleStructures/BPStructure_Steamboat_Willie_Stairway.BPStructure_Steamboat_Willie_Stairway_C,25,0,0,0,0,0,0
/DinoDefense/2DPlatformer/Props/Turrets/BaseTurret_Platformer.BaseTurret_Platformer_C,25,0,0,0,0,0,0
/Script/AIModule.BlackboardData,25,0,0,0,0,0,0
/Script/Engine.TriggerVolume,25,0,0,0,0,0,0
/Game/ASA/Blueprints/LightingTools/VolumetricCaveFogSphere/BP_VolumetricCaveFogCube.BP_VolumetricCaveFogCube_C,24,0,0,0,0,0,0
/Game/Genesis/Lighting/TOD_Lights/BP_GEN1_TOD_SpotLight_CaveEntrance.BP_GEN1_TOD_SpotLight_CaveEntrance_C,24,0,0,0,0,0,0
/Game/PrimalEarth/Sound/AmbientSoundActors/RedwoodAmbientSound_Blueprint_Medium.RedwoodAmbientSound_Blueprint_Medium_C,24,0,0,0,0,0,0
/Game/PrimalEarth/Sound/PlayerVoice/PDA_VoiceCollection.PDA_VoiceCollection_C,24,0,0,0,0,0,0
/Script/OptimusCore.OptimusDeformer,23,0,0,0,0,0,0
/Script/ShooterGame.ModDataAsset,23,0,0,0,0,0,0
/Game/PrimalEarth/CoreBlueprints/ExplorerChest/ExplorerChest_Glitch.ExplorerChest_Glitch_C,22,0,0,0,0,0,0
/Script/Engine.SubsurfaceProfile,22,0,0,0,0,0,0
/Game/ASA/Blueprints/Water/BP_CaveWaterline_Override.BP_CaveWaterline_Override_C,21,0,0,0,0,0,0
/Script/Engine.TextureRenderTargetCube,21,0,0,0,0,0,0
/Script/ShooterGame.PrimalWirelessExchangeData,21,0,0,0,0,0,0
/DinoDefense/2DPlatformer/Environment/Fracture_Meshes/DestructibleStructures/BPStructure_Steamboat_Willie_Pillar_2.BPStructure_Steamboat_Willie_Pillar_2_C,20,0,0,0,0,0,0
/Game/Genesis/Effects/BluePrint/Environment/VR/BPFX_Pillar_Data_Stream.BPFX_Pillar_Data_Stream_C,20,0,0,0,0,0,0
/Game/UltraDynamicSky/Blueprints/Utilities/BP_PostProcessPreview.BP_PostProcessPreview_C,20,0,0,0,0,0,0
/Script/Engine.ForceFeedbackEffect,20,0,0,0,0,0,0
/Script/Engine.PrimaryAssetLabel,20,0,0,0,0,0,0
/Script/HoudiniEngineRuntime.HoudiniAsset,20,0,0,0,0,0,0
/Script/ShooterGame.PrimalRecastNavMesh,20,0,0,0,0,0,0
/DinoDefense/2DPlatformer/Mobs/Dodo/DodoCharacter_Platformer.DodoCharacter_Platformer_C,19,0,0,0,0,0,0
/Game/Genesis/Sound/Environment/Arctic/Arctic_Trees_Blueprint.Arctic_Trees_Blueprint_C,19,0,0,0,0,0,0
/Game/PrimalEarth/Effects/Blueprints/BP_IndoorRainChild.BP_IndoorRainChild_C,19,0,0,0,0,0,0
/Script/CinematicCamera.CineCameraActor,19,0,0,0,0,0,0
/DinoDefense/2DPlatformer/Props/Spawner/BaseSpawner_Platformer.BaseSpawner_Platformer_C,18,0,0,0,0,0,0
/Game/PrimalEarth/Effects/Blueprints/BP_Lava_FireSplash01.BP_Lava_FireSplash01_C,18,0,0,0,0,0,0
/Game/PrimalEarth/Sound/AmbientSoundActors/SnowAmbientSound_Blueprint.SnowAmbientSound_Blueprint_C,18,0,0,0,0,0,0
/Script/Engine.CurveVector,18,0,0,0,0,0,0
/Script/Engine.TextureLightProfile,18,0,0,0,0,0,0
/Script/NavigationSystem.NavModifierVolume,18,0,0,0,0,0,0
/Game/Genesis/Lighting/TOD_Lights/BP_GEN1_TOD_SpotLight.BP_GEN1_TOD_SpotLight_C,17,0,0,0,0,0,0
/Game/PrimalEarth/Environment/Shared/Vegetation/Foliage/FungusPod/BPP_Fungus_Wall_BP_Instance.BPP_Fungus_Wall_BP_Instance_C,17,0,0,0,0,0,0
/Script/Engine.DirectionalLight,17,0,0,0,0,0,0
/Script/Engine.SkyLight,17,0,0,0,0,0,0
/Script/MediaAssets.MediaTexture,17,0,0,0,0,0,0
/Game/Genesis/Sound/Environment/Volcanic/VolcanoAmbientSound_Blueprint.VolcanoAmbientSound_Blueprint_C,16,0,0,0,0,0,0
/Script/SlateCore.SlateWidgetStyleAsset,16,0,0,0,0,0,0
/Game/Genesis/Environment/Volcano/Lava/Lava_spline.Lava_spline_C,15,0,0,0,0,0,0
/Game/Genesis/Missions/MissionTrigger_SpawningCheckpoint_Mesh.MissionTrigger_SpawningCheckpoint_Mesh_C,15,0,0,0,0,0,0
/Game/ScorchedEarth/Structures/OilPump/OilVein_Base_BP.OilVein_Base_BP_C,15,0,0,0,0,0,0
/Game/Art_Tools/Level_Tools/WorldCapture/BP_Batch_World_Capture_GenesisIslands.BP_Batch_World_Capture_GenesisIslands_C,14,0,0,0,0,0,0
/Game/Genesis/Missions/EelBossFight/MissionServerSidePoint_EelBoss.MissionServerSidePoint_EelBoss_C,14,0,0,0,0,0,0
/Game/Genesis/Missions/Sports/DodoBall/MissionSpline_BasketballCourt.MissionSpline_BasketballCourt_C,14,0,0,0,0,0,0
/Script/Engine.RuntimeVirtualTexture,14,0,0,0,0,0,0
/Script/ImgMedia.ImgMediaSource,14,0,0,0,0,0,0
/Script/MediaAssets.MediaPlayer,14,0,0,0,0,0,0
/DinoDefense/2DPlatformer/Environment/Fracture_Meshes/BP_Steamboat_Willie_Dock.BP_Steamboat_Willie_Dock_C,13,0,0,0,0,0,0
/DinoDefense/2DPlatformer/Props/PickUps/DroppedEggCoin_Plataformer.DroppedEggCoin_Plataformer_C,13,0,0,0,0,0,0
/Game/Effects/Blueprints/BP_Steam_vent_LG.BP_Steam_vent_LG_C,13,0,0,0,0,0,0
